# BRANCH-ARCHIVE-SNAPSHOT-2026-09-15
# DO NOT MERGE THIS ARCHIVE BRANCH INTO main
# canonical_main=bb6f4639fbf1098f131e579dedbb610e0e7c7d97
# branch_count_before=288
# historical_branch_count=287
# unique_historical_tip_count=223
# open_pull_requests=0
# Each historical tip is retained as an ancestor of the archive snapshot DAG.
branch	sha	protected
tmp-core-v1-stage4-candidate-keys-001-20260913	87161711afc10288da971fffdc03209a2fb5f038	false
tmp-core-v1-stage4-candidate-keys-write-fence-001-20260913	b4817162d59cfe8e8afb8b1def448c70f836e2a6	false
tmp-core-v1-stage4-commerce-lineage-prereq-recovery-20260913	1b4795dbe1d8c9a3ee5bb251cfd0686a0547b8d4	false
tmp-core-v1-stage4-constraints-preflight-001-20260913	b7f128e6c0424203c9287da74a21a41dde043319	false
tmp-core-v1-stage4-foreign-keys-preflight-001-20260913	a169fbe2e5b2e50fe6866d01b124c95b6e6c3705	false
tmp-core-v1-stage4-foreign-keys-preflight-001-retry-20260913	a169fbe2e5b2e50fe6866d01b124c95b6e6c3705	false
tmp-core-v1-stage4-indexes-preflight-001-20260913	012682ec45f138d3ba888f1a63ad69b8b7a14f0b	false
tmp-core-v1-stage4-indexes-write-fence-001-20260913	153f43e16ea8beb54909a479ef455ae37851df31	false
tmp-core-v1-stage4-internal-exam-purchase-ordinal-prereq-recovery-20260913	53db5dc881241fdf1dbcddcd7c92f86c4340a2a2	false
tmp-core-v1-stage4-missing-tables-001-20260913	ef3d84187ecbe5cad821052cd63c6d9724eba08d	false
tmp-core-v1-stage4-missing-tables-001-closure-20260913	72c193f2da792a1436545782fdea179d4c21ea49	false
tmp-core-v1-student-finance-001-20260911	54ffd13407c2ee151cff1d08304c51c70cde6029	false
tmp-core-v1-student-finance-central-close-20260911	e1c70c768c3d5f2a3c694443f5d650dae849cf93	false
tmp-core-v1-student-finance-closure-20260911	b934285350b65ac455beaafeb804472130dda676	false
tmp-core-v1-student-finance-gate3-validation-20260911	54ffd13407c2ee151cff1d08304c51c70cde6029	false
tmp-core-v1-students-course-enrollment-001-20260911	fcee66b4695d4d76b59196ee8fbc2d2a90eb1f95	false
tmp-db-act-001-central-validation-20260909	6981cbb608819bdb2d7c3a15a9442782e914849c	false
tmp-db-act-001-machine-validation-20260909	6981cbb608819bdb2d7c3a15a9442782e914849c	false
tmp-db-act-001-narrative-validation-20260909	6981cbb608819bdb2d7c3a15a9442782e914849c	false
tmp-db-aud-001-central-validation-20260909	d26ebb19ea10c55ecffc795c0edcbe7ee6706cad	false
tmp-db-aud-001-machine-validation-20260909	d26ebb19ea10c55ecffc795c0edcbe7ee6706cad	false
tmp-db-aud-001-narrative-validation-20260909	d26ebb19ea10c55ecffc795c0edcbe7ee6706cad	false
tmp-db-aud-002-central-validation-20260909	cfa4e8069b9982eda702bd56bd1dcdcfd0530e7e	false
tmp-db-aud-002-machine-validation-20260909	cfa4e8069b9982eda702bd56bd1dcdcfd0530e7e	false
tmp-db-aud-002-narrative-validation-20260909	cfa4e8069b9982eda702bd56bd1dcdcfd0530e7e	false
tmp-db-com-001-central-validation-20260909	e54b54b2b92a9b41fa15194e06712d000f0bba6c	false
tmp-db-com-001-machine-helper	10d2ad55ddf03be0efea947532d7fc18fe7be96d	false
tmp-db-com-001-machine-validated	0b2628da532514ed59b9ec1fc5227e42ddbb6626	false
tmp-db-com-001-narrative-v2	0520f026968e9db8405e130ac757eba3d33ba0bd	false
tmp-db-com-002-central-validation-20260909	2c925d2fcbf659d276d73c7ebab270294ab07126	false
tmp-db-com-002-machine-validation-20260909	2c925d2fcbf659d276d73c7ebab270294ab07126	false
tmp-db-com-002-narrative-validation-20260909	2c925d2fcbf659d276d73c7ebab270294ab07126	false
tmp-db-com-003-central-validation-20260909	8ba1fec3cfe37916464cd7ee2bee064f19dda30a	false
tmp-db-com-003-machine-validation-20260909	8ba1fec3cfe37916464cd7ee2bee064f19dda30a	false
tmp-db-com-003-narrative-validation-20260909	8ba1fec3cfe37916464cd7ee2bee064f19dda30a	false
tmp-db-com-004-central-validation-20260909	39ae9c43590d7d1fab5d86491d53b9231ae1d994	false
tmp-db-com-004-machine-validation-20260909	39ae9c43590d7d1fab5d86491d53b9231ae1d994	false
tmp-db-com-004-narrative-validation-20260909	39ae9c43590d7d1fab5d86491d53b9231ae1d994	false
tmp-db-com-005-central-validation-20260909	518665e02daab59d738f35e85ae40d1e3bf1ece0	false
tmp-db-com-005-machine-validation-20260909	518665e02daab59d738f35e85ae40d1e3bf1ece0	false
tmp-db-com-005-narrative-validation-20260909	518665e02daab59d738f35e85ae40d1e3bf1ece0	false
tmp-db-com-006-central-validation-20260909	d899491bc8dd73a7b82d1c28c50f32b6eea1a169	false
tmp-db-com-006-machine-validation-20260909	d899491bc8dd73a7b82d1c28c50f32b6eea1a169	false
tmp-db-com-006-narrative-validation-20260909	d899491bc8dd73a7b82d1c28c50f32b6eea1a169	false
tmp-db-com-007-central-validation-20260909	7b75275884c0fb4eb0386f3fa2be43a76004b78a	false
tmp-db-com-007-machine-validation-20260909	7b75275884c0fb4eb0386f3fa2be43a76004b78a	false
tmp-db-com-007-narrative-validation-20260909	7b75275884c0fb4eb0386f3fa2be43a76004b78a	false
tmp-db-com-008-central-validation-20260909	4529d6b7b5cceba0c2f79fd67175357764460f19	false
tmp-db-com-008-machine-validation-20260909	4529d6b7b5cceba0c2f79fd67175357764460f19	false
tmp-db-com-008-narrative-validation-20260909	4529d6b7b5cceba0c2f79fd67175357764460f19	false
tmp-db-evt-001-central-validation-20260910	b70eb701624a05d53f0d859b5538edecf3c23ab3	false
tmp-db-evt-001-machine-validation-20260910	b70eb701624a05d53f0d859b5538edecf3c23ab3	false
tmp-db-evt-001-narrative-validation-20260910	b70eb701624a05d53f0d859b5538edecf3c23ab3	false
tmp-db-fin-001-central-helper	84e8f1b428c640d426bf5709ed37518bbc711069	false
tmp-db-fin-001-central-v2-helper	389b79451048949a80bb4fca1470c5083e0c32ab	false
tmp-db-fin-001-machine-helper	6b44ba718a1f2f7baf19c7e426611030a10a7648	false
tmp-db-fin-001-narrative-helper	c49a11d22625fd6d593ede51cd69847c9cc644e1	false
tmp-db-fin-002-central-helper	12ba566559c954fe2b4f03f01d79ff67b66b08a0	false
tmp-db-fin-002-central-provenance-correction	c2b4623ab9e8e7f93e0bc6ca67d168d9fbd49d6e	false
tmp-db-fin-002-machine-helper	db48128af6fe10f21b9c6a522559819de4633d52	false
tmp-db-fin-002-machine-v2-helper	6df3594a8c72078c81559900b9ca27ce11e5149e	false
